uid,menu-item-id,WORKING-NAME_1,WORKING-TOPIC_TAG,theme,type,action,start,end,address,latitude,longitude,source,display-desc,desc-source,Location_QC
poi000448,ui0009,John Favor's Stairbuilders Shop,bosvigilance,Places,Place,was,,,49 Lincoln St,42.35257099,-71.05813055,"The Boston Directory, 1855.",,,same
poi000447,ui0009,Russell's Shop,bosvigilance,Places,Place,was,,,,,,,,,TBD
poi000450,ui0009,Stephen Maddox's Clothing Store,bosvigilance,Places,Place,was,,,72 Essex St,42.35264259,-71.06005634,"Boston Slave Riot, and Trial of Anthony Burns.â€¯: Containing the Report of the Faneuil Hall Meeting, the Murder of Batchelder, Theodore Parker's Lesson for the Day, Speeches of Counsel on Both Sides, Corrected by Themselves, a Verbatim Report of Judge Loring's Decision, and Detailed Account of the Embarkation. 1854. Boston: Fetridge and company.",,,changed
poi000454,ui0009,William Bell's Dancing,bosvigilance,Places,Place,was,,,425 Washington Street,,,"The Boston Directory, 1855.",,,TBD
poi000385,,George and Susan Hillard House,bosvigilance,Places,Place,was part of the Underground Railroad,,1855,62 Pinckney Street,42.358784,-71.067685,Boston African American National Historic Site.,"George and Susan Hillard lived at No. 62 Pinckney Street from the early 1840s through the 1870s. Both of the Hillards were opposed to slavery, and George was a law partner with Charles Sumner, an ardent abolitionist, until Sumner was elected to the U.S. Senate. By 1850, however, George began aligning with Daniel Websterâ€™s politics and believed that slavery should not come between the states. As a U.S. commissioner, George also had to uphold the Fugitive Slave Act of 1850 and issue arrest warrants to slave catchers (National Park Service). Despite her husbandâ€™s politics, Susan Hillard remained staunchly anti-slavery and even hid runaway slaves in the family home. ",Underground Railroad in Beacon Hill,same
,ui0006,Mather School,,Places,School,,1843,,"Broadway, South Boston",42.340398,-71.0528256,"Reports of the Annual Visiting Committees of the Public Schools, 1847.",,,same
,ui0006,Brimmer School for boys,,Places,School,,1844,,Common Street,42.3489258,-71.0644817,"Reports of the Annual Visiting Committees of the Public Schools, 1847.",,,same
,ui0006,Dwight School,,Places,School,,1844,,Concord Street,42.3772972,-71.0617349,"Reports of the Annual Visiting Committees of the Public Schools, 1847.",,,same
,ui0006,Endicott School,,Places,School,,1811,,Cooper Street,42.3641812,-71.0570441,"Reports of the Annual Visiting Committees of the Public Schools, 1847.",,,TBD
,ui0006,Bowdoin School for girls,,Places,School,,1820,,Derne Street,42.3596308,-71.0661459,"Reports of the Annual Visiting Committees of the Public Schools, 1847.",,,same
,ui0006,Lyman School,,Places,School,,1837,,East Boston,42.3710094,-71.0394943,"Reports of the Annual Visiting Committees of the Public Schools, 1847.",,,TBD
,ui0006,Winthrop School for girls,,Places,School,,1835,,East Street,42.3776559,-71.0591325,"Reports of the Annual Visiting Committees of the Public Schools, 1847.",,,same
,ui0006,Hancock School for girls,,Places,School,,1822,,Hanover Street,42.3644171,-71.0553536,"Reports of the Annual Visiting Committees of the Public Schools, 1847.",,,same
,ui0006,Mayhew School for boys,,Places,School,,1803,,Hawkins Street,42.3616313,-71.0606437,"Reports of the Annual Visiting Committees of the Public Schools, 1847.",,,same
,ui0006,Otis School,,Places,School,,1844,,Lancaster Street,42.3644219,-71.0625463,"Reports of the Annual Visiting Committees of the Public Schools, 1847.",,,same
,ui0006,Adams School for boys,,Places,School,,1717,,Mason Street,42.3545015,-71.062824,"Reports of the Annual Visiting Committees of the Public Schools, 1847.",,,same
,ui0006,Wells School for girls,,Places,School,,1833,,McLean Street,42.3633684,-71.0666926,"Reports of the Annual Visiting Committees of the Public Schools, 1847.",,,same
,ui0006,Eliot School for boys,,Places,School,,1713,,North Bennett Street,42.3654189,-71.0546276,"Reports of the Annual Visiting Committees of the Public Schools, 1847.",,,same
,ui0006,Phillips School for boys,,Places,School,,1844,,Pinckney Street,42.3591396,-71.0679457,"Reports of the Annual Visiting Committees of the Public Schools, 1847.",,,same
,ui0006,Hawes School,,Places,School,,1811,,South Boston,42.3363809,-71.0463458,"Reports of the Annual Visiting Committees of the Public Schools, 1847.",,,same
,ui0006,Johnson School for girls,,Places,School,,1836,,Tremont Street,42.3507101,-71.0643505,"Reports of the Annual Visiting Committees of the Public Schools, 1847.",,,same
,ui0006,Boylston School,,Places,School,,1819,,Washington Place,42.3558445,-71.0520711,"Reports of the Annual Visiting Committees of the Public Schools, 1847.",,,same
,ui0006,Franklin School for girls,,Places,School,,1785,,Washington Street,42.3435694,-71.066404,"Reports of the Annual Visiting Committees of the Public Schools, 1847.",,,same
